ExperimentName,Subject,Session,Age,Clock.Information,Clock.StartTimeOfDay,Display.RefreshRate,Group,Handedness,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Sex,Block,Animacy,ButtonDistance,Condition,CorrectPractice,CorrectResponse,CriticalStimuli,DecisionScreen.ACC,DecisionScreen.RT,DecisionScreen.RTTime,FAST,FillerNonsensical,FillerSensical,FillerSentence,ItemNo,Landmark,MainCrossair.RT,MainCrossair.RTTime,MainDecision.ACC,MainDecision.CRESP,MainDecision.RESP,MainDecision.RT,MainDecision.RTTime,MainExperimentFirst,MainExperimentFirst.Cycle,MainExperimentFirst.Sample,MainExperimentSecond,MainExperimentSecond.Cycle,MainExperimentSecond.Sample,MainSentence.RT,MainSentence.RTTime,PracticeList,PracticeList.Cycle,PracticeList.Sample,PracticeSessionTwo,PracticeSessionTwo.Cycle,PracticeSessionTwo.Sample,Procedure,Running,Sensibility,Sentence,SentenceDisplay.RT,SentenceDisplay.RTTime,SentenceToDisplay,SLOW,Type,Verb
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,1,,,,5,,,0,5726,130615,,,,,,,,,,,,,,,,,,,,,,10,1,1,,,,PracticeProcedure,PracticeList,nonsense,The girl is glimmering off the flowers,504,124887,,,practice,
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,2,,,,5,,,1,702,139191,,,,,,,,,,,,,,,,,,,,,,9,1,2,,,,PracticeProcedure,PracticeList,nonsense,The table is stretching by the tape,3611,138487,,,practice,
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,3,,,,9,,,1,762,145238,,,,,,,,,,,,,,,,,,,,,,4,1,3,,,,PracticeProcedure,PracticeList,sense,The arrow is pointing to the exit,1141,144470,,,practice,
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,4,,,,9,,,1,824,150646,,,,,,,,,,,,,,,,,,,,,,6,1,4,,,,PracticeProcedure,PracticeList,sense,The trees are blowing in the wind,885,149814,,,practice,
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,5,,,,9,,,1,661,156150,,,,,,,,,,,,,,,,,,,,,,1,1,5,,,,PracticeProcedure,PracticeList,sense,The phone is ringing during class,949,155478,,,practice,
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,6,,,,5,,,1,1235,162070,,,,,,,,,,,,,,,,,,,,,,8,1,6,,,,PracticeProcedure,PracticeList,nonsense,The floor concrete in the building,1107,160822,,,practice,
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,7,,,,5,,,1,565,168054,,,,,,,,,,,,,,,,,,,,,,12,1,7,,,,PracticeProcedure,PracticeList,nonsense,The hawk is measuring under the highway,1789,167478,,,practice,
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,8,,,,5,,,1,595,173750,,,,,,,,,,,,,,,,,,,,,,11,1,8,,,,PracticeProcedure,PracticeList,nonsense,The mountain is swimming under the bridge,1080,173142,,,practice,
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,9,,,,9,,,1,732,179541,,,,,,,,,,,,,,,,,,,,,,3,1,9,,,,PracticeProcedure,PracticeList,sense,The cow is grazing in the field,916,178805,,,practice,
marcus_A,1,54229,19,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192090000</Frequency><Timestamp dt:dt=""r8"">3.0420831897925E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-28T18:54:38Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",10/28/14 11:54,75.001,Bodo,right,1430061016,10/28/14,11:54:38,6:54:38 PM,female,10,,,,9,,,1,637,184725,,,,,,,,,,,,,,,,,,,,,,2,1,10,,,,PracticeProcedure,PracticeList,sense,The water is boiling in the pot,757,184085,,,practice,
