ExperimentName,Subject,Session,Age,Clock.Information,Clock.StartTimeOfDay,Display.RefreshRate,Group,Handedness,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Sex,Block,Animacy,ButtonDistance,Condition,CorrectPractice,CorrectResponse,CriticalStimuli,DecisionScreen.ACC,DecisionScreen.RT,DecisionScreen.RTTime,DecisionScreen2.ACC,DecisionScreen2.RT,DecisionScreen2.RTTime,FAST,FillerNonsensical,FillerSensical,FillerSentence,ItemNo,Landmark,MainCrossair.RT,MainCrossair.RTTime,MainCrossair2.RT,MainCrossair2.RTTime,MainDecision.ACC,MainDecision.CRESP,MainDecision.RESP,MainDecision.RT,MainDecision.RTTime,MainDecision2.ACC,MainDecision2.CRESP,MainDecision2.RESP,MainDecision2.RT,MainDecision2.RTTime,MainExperimentFirst,MainExperimentFirst.Cycle,MainExperimentFirst.Sample,MainExperimentSecond,MainExperimentSecond.Cycle,MainExperimentSecond.Sample,MainSentence.RT,MainSentence.RTTime,MainSentence2.RT,MainSentence2.RTTime,PracticeList,PracticeList.Cycle,PracticeList.Sample,PracticeSessionTwo,PracticeSessionTwo.Cycle,PracticeSessionTwo.Sample,Procedure,Running,Sensibility,Sentence,SentenceDisplay.RT,SentenceDisplay.RTTime,SentenceToDisplay,SLOW,Type,Verb
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,1,,,,9,,,1,2557,81322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,PracticeProcedure,PracticeList,sense,The arrow is pointing to the exit,2078,78763,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,2,,,,9,,,1,1107,88618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,PracticeProcedure,PracticeList,sense,The water is boiling in the pot,1627,87498,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,3,,,,9,,,1,1875,96266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,,,,PracticeProcedure,PracticeList,sense,The cow is grazing in the field,1587,94378,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,4,,,,5,,,1,1179,103050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,4,,,,PracticeProcedure,PracticeList,nonsense,The table is stretching by the tape,1595,101866,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,5,,,,9,,,1,2648,111146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,,,,PracticeProcedure,PracticeList,sense,The phone is ringing during class,1432,108490,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,6,,,,5,,,1,1110,117994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,6,,,,PracticeProcedure,PracticeList,nonsense,The floor concrete in the building,1723,116874,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,7,,,,5,,,1,1214,124618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,,,,PracticeProcedure,PracticeList,nonsense,The sidewalk is coloring to the grass,1558,123402,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,8,,,,9,,,1,1463,131081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,8,,,,PracticeProcedure,PracticeList,sense,The cup is sitting on the desk,1365,129609,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,9,,,,5,,,1,722,136873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,9,,,,PracticeProcedure,PracticeList,nonsense,The mountain is swimming under the bridge,1399,136137,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,10,,,,5,,,1,1274,143465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,10,,,,PracticeProcedure,PracticeList,nonsense,The girl is glimmering off the flowers,1554,142185,,,practice,
